Date,Price,Open,High,Low,Vol.,Change %
4/12/2022,"3,831.47","3,818.76","3,853.23","3,763.32",33.59M,-0.21%
4/11/2022,"3,839.62","3,845.70","3,870.06","3,813.16",28.85M,-0.49%
4/8/2022,"3,858.37","3,812.08","3,872.59","3,812.08",32.21M,1.48%
4/7/2022,"3,802.01","3,836.46","3,874.29","3,797.60",34.69M,-0.59%
4/6/2022,"3,824.69","3,915.53","3,915.53","3,792.56",46.12M,-2.38%
4/5/2022,"3,917.85","3,952.58","3,969.04","3,896.62",33.32M,-0.84%
4/4/2022,"3,951.12","3,925.27","3,956.59","3,891.00",26.73M,0.83%
4/1/2022,"3,918.68","3,906.57","3,935.73","3,895.70",28.15M,0.41%
3/31/2022,"3,902.52","3,964.01","3,979.70","3,902.52",35.96M,-1.43%
3/30/2022,"3,959.14","3,997.46","3,997.46","3,942.81",34.14M,-1.08%
3/29/2022,"4,002.18","3,906.47","4,024.89","3,906.47",50.86M,2.96%
3/28/2022,"3,887.10","3,870.33","3,946.78","3,870.33",33.83M,0.50%
3/25/2022,"3,867.73","3,871.34","3,903.94","3,853.35",28.93M,0.11%
3/24/2022,"3,863.39","3,874.32","3,892.91","3,845.44",31.64M,-0.15%
3/23/2022,"3,869.22","3,934.13","3,937.81","3,853.54",34.11M,-1.45%
3/22/2022,"3,926.12","3,886.26","3,935.45","3,886.26",32.18M,1.14%
3/21/2022,"3,881.80","3,900.84","3,914.08","3,877.59",30.43M,-0.53%
3/18/2022,"3,902.44","3,886.49","3,902.44","3,824.02",63.14M,0.44%
3/17/2022,"3,885.32","3,901.70","3,913.72","3,843.10",47.89M,-0.11%
3/16/2022,"3,889.69","3,766.79","3,929.96","3,766.79",64.06M,4.05%
3/15/2022,"3,738.11","3,723.23","3,753.26","3,641.50",43.61M,-0.08%
3/14/2022,"3,741.10","3,694.76","3,789.58","3,694.76",41.81M,1.47%
3/11/2022,"3,686.78","3,657.37","3,801.48","3,630.28",56.51M,0.97%
3/10/2022,"3,651.39","3,764.64","3,764.64","3,627.13",61.01M,-3.04%
3/9/2022,"3,766.02","3,548.49","3,766.02","3,548.49",75.63M,7.44%
3/8/2022,"3,505.29","3,489.16","3,610.95","3,469.20",71.84M,-0.20%
3/7/2022,"3,512.22","3,529.57","3,599.93","3,387.00",82.26M,-1.23%
3/4/2022,"3,556.01","3,723.97","3,723.97","3,556.01",74.42M,-4.96%
3/3/2022,"3,741.78","3,819.14","3,841.92","3,731.35",50.89M,-2.06%
3/2/2022,"3,820.59","3,755.27","3,849.72","3,720.72",67.45M,1.45%
3/1/2022,"3,765.85","3,920.03","3,923.75","3,765.85",71.93M,-4.04%
2/28/2022,"3,924.23","3,940.99","3,940.99","3,825.08",77.05M,-1.17%
2/25/2022,"3,970.69","3,836.85","3,970.83","3,829.28",66.18M,3.69%
2/24/2022,"3,829.29","3,939.51","3,939.51","3,765.42",88.82M,-3.63%
2/23/2022,"3,973.41","3,991.66","4,054.17","3,962.79",32.53M,-0.30%
2/22/2022,"3,985.47","3,960.20","4,016.46","3,894.99",43.50M,-0.01%
2/21/2022,"3,985.71","4,090.71","4,104.63","3,957.20",29.69M,-2.17%
2/18/2022,"4,074.28","4,107.72","4,128.73","4,054.72",32.43M,-0.95%
2/17/2022,"4,113.19","4,139.88","4,158.44","4,092.79",32.11M,-0.58%
2/16/2022,"4,137.22","4,149.56","4,180.32","4,117.17",31.01M,-0.16%
2/15/2022,"4,143.71","4,059.25","4,143.71","4,043.57",38.91M,1.95%
2/14/2022,"4,064.45","4,125.31","4,125.31","4,002.91",53.34M,-2.18%
2/11/2022,"4,155.23","4,170.73","4,177.91","4,133.35",39.79M,-1.00%
2/10/2022,"4,197.07","4,208.20","4,239.61","4,169.84",46.95M,-0.17%
2/9/2022,"4,204.09","4,140.41","4,208.76","4,140.41",45.88M,1.81%
2/8/2022,"4,129.25","4,117.21","4,156.17","4,103.63",39.83M,0.21%
2/7/2022,"4,120.56","4,101.89","4,131.84","4,074.86",38.51M,0.83%
2/4/2022,"4,086.58","4,154.75","4,167.87","4,067.51",47.41M,-1.31%
2/3/2022,"4,141.02","4,215.41","4,215.41","4,141.02",47.35M,-1.92%
2/2/2022,"4,222.05","4,242.74","4,259.28","4,222.05",37.64M,-0.06%
2/1/2022,"4,224.45","4,184.63","4,232.44","4,184.63",33.00M,1.19%
1/31/2022,"4,174.60","4,161.77","4,200.83","4,134.07",39.62M,0.91%
1/28/2022,"4,136.91","4,174.57","4,181.23","4,071.71",35.33M,-1.15%
1/27/2022,"4,184.97","4,144.78","4,204.86","4,088.91",42.38M,0.49%
1/26/2022,"4,164.60","4,096.51","4,188.17","4,096.51",36.43M,2.12%
1/25/2022,"4,078.26","4,078.81","4,112.25","4,039.52",33.49M,0.59%
1/24/2022,"4,054.36","4,213.83","4,224.47","4,035.28",45.81M,-4.14%
1/21/2022,"4,229.56","4,278.18","4,278.18","4,188.93",43.75M,-1.63%
1/20/2022,"4,299.61","4,271.25","4,300.64","4,248.01",31.73M,0.73%
1/19/2022,"4,268.28","4,249.40","4,302.17","4,234.62",34.56M,0.25%
1/18/2022,"4,257.82","4,293.58","4,293.58","4,234.29",29.77M,-1.03%
1/17/2022,"4,302.14","4,281.31","4,310.49","4,274.25",20.51M,0.70%
1/14/2022,"4,272.19","4,307.48","4,307.48","4,256.61",34.93M,-1.01%
1/13/2022,"4,315.90","4,319.26","4,335.49","4,294.99",31.41M,-0.01%
1/12/2022,"4,316.39","4,306.25","4,328.76","4,289.00",39.87M,0.81%
1/11/2022,"4,281.54","4,251.80","4,303.17","4,251.80",26.40M,0.99%
1/10/2022,"4,239.52","4,312.13","4,324.64","4,231.06",31.30M,-1.54%
1/7/2022,"4,305.83","4,331.07","4,335.72","4,279.71",31.69M,-0.44%
1/6/2022,"4,324.81","4,372.45","4,372.45","4,304.54",32.68M,-1.53%
1/5/2022,"4,392.15","4,368.78","4,395.78","4,367.03",29.74M,0.56%
1/4/2022,"4,367.62","4,346.45","4,390.59","4,342.25",32.59M,0.83%
1/3/2022,"4,331.82","4,303.94","4,348.66","4,303.94",25.84M,0.78%
12/31/2021,"4,298.41","4,298.41","4,298.41","4,298.41",,-0.18%
12/30/2021,"4,306.07","4,286.63","4,309.54","4,285.29",18.58M,0.50%
12/29/2021,"4,284.83","4,311.13","4,312.45","4,271.37",16.66M,-0.63%
12/28/2021,"4,311.93","4,290.54","4,319.69","4,287.11",16.91M,0.56%
12/27/2021,"4,287.98","4,249.90","4,293.89","4,240.49",13.90M,0.77%
12/24/2021,"4,255.01","4,265.56","4,267.58","4,255.01",17.35M,-0.25%
12/23/2021,"4,265.86","4,221.90","4,270.29","4,221.90",20.50M,1.16%
12/22/2021,"4,217.06","4,180.89","4,217.06","4,167.89",19.26M,1.01%
12/21/2021,"4,174.99","4,120.48","4,174.99","4,120.48",23.84M,1.65%
12/20/2021,"4,107.13","4,140.33","4,140.33","4,046.69",30.15M,-1.30%
12/17/2021,"4,161.35","4,195.94","4,195.94","4,130.36",59.79M,-0.96%
12/16/2021,"4,201.87","4,198.25","4,250.90","4,198.25",35.43M,1.01%
12/15/2021,"4,159.68","4,147.16","4,176.14","4,147.16",25.82M,0.37%
12/14/2021,"4,144.51","4,198.90","4,210.52","4,143.50",28.74M,-0.92%
12/13/2021,"4,183.04","4,206.45","4,241.12","4,176.97",24.17M,-0.38%
12/10/2021,"4,199.16","4,198.18","4,221.57","4,178.66",25.37M,-0.22%
12/9/2021,"4,208.30","4,242.66","4,246.52","4,201.85",26.13M,-0.59%
12/8/2021,"4,233.09","4,273.32","4,288.20","4,233.09",32.55M,-1.01%
12/7/2021,"4,276.20","4,157.72","4,277.03","4,157.72",34.42M,3.36%
12/6/2021,"4,137.11","4,095.39","4,146.16","4,078.64",30.03M,1.40%
12/3/2021,"4,080.15","4,118.98","4,150.42","4,059.02",33.31M,-0.68%
12/2/2021,"4,108.02","4,157.70","4,157.70","4,086.82",36.90M,-1.70%
12/1/2021,"4,179.15","4,080.85","4,187.86","4,080.85",37.48M,2.86%
11/30/2021,"4,063.06","4,089.51","4,110.96","4,027.43",67.92M,-1.13%
11/29/2021,"4,109.51","4,117.79","4,154.15","4,097.98",42.57M,0.49%
11/26/2021,"4,089.58","4,213.93","4,213.93","4,086.66",66.89M,-4.74%
11/25/2021,"4,293.24","4,286.63","4,304.86","4,278.80",20.88M,0.40%
11/24/2021,"4,276.25","4,284.60","4,305.49","4,240.78",32.98M,-0.18%
11/23/2021,"4,283.82","4,320.41","4,328.48","4,267.23",31.50M,-1.26%
11/22/2021,"4,338.69","4,361.95","4,371.60","4,336.17",35.01M,-0.41%
11/19/2021,"4,356.47","4,385.66","4,401.92","4,333.86",53.67M,-0.62%
11/18/2021,"4,383.70","4,400.73","4,415.23","4,377.73",30.45M,-0.39%
11/17/2021,"4,400.81","4,399.25","4,409.24","4,399.25",21.95M,-0.02%
